defense_name,level,unlocks_at_town_hall,build_cost,build_time_seconds,build_resource
Cannon,1,1,250,5,gold
Cannon,2,1,1000,30,gold
Cannon,3,2,4000,120,gold
Cannon,4,3,16000,1200,gold
Cannon,5,4,50000,1800,gold
Cannon,6,5,60000,3600,gold
Cannon,7,6,100000,7200,gold
Cannon,8,7,160000,10800,gold
Cannon,9,8,250000,12600,gold
Cannon,10,8,330000,14400,gold
Cannon,11,9,500000,16200,gold
Cannon,12,10,600000,18000,gold
Cannon,13,10,660000,21600,gold
Cannon,14,11,1000000,28800,gold
Cannon,15,11,1200000,36000,gold
Cannon,16,12,1300000,39600,gold
Cannon,17,12,1500000,43200,gold
Cannon,18,13,1800000,72000,gold
Cannon,19,13,2000000,86400,gold
Cannon,20,14,2600000,129600,gold
Cannon,21,15,3000000,172800,gold
